timesteps,run_1,run_2,run_3,run_4,run_5,mean_return,std_return
486500,262.8333333333333,500.0,500.0,115.3,286.1333333333333,332.8533333333333,148.52005117155056
486750,256.46666666666664,500.0,500.0,179.26666666666668,500.0,387.14666666666665,140.35596270435633
487000,500.0,435.06666666666666,500.0,254.4,500.0,437.8933333333333,95.13097030468633
487250,500.0,500.0,20.3,500.0,500.0,404.06,191.88000000000002
487500,500.0,28.433333333333334,64.0,500.0,500.0,318.4866666666667,222.5918552967391
487750,177.2,500.0,500.0,500.0,500.0,435.43999999999994,129.12
488000,500.0,500.0,500.0,450.3666666666667,500.0,490.0733333333334,19.85333333333333
488250,500.0,500.0,109.2,500.0,356.5,393.14,152.46087498109145
488500,461.73333333333335,500.0,85.33333333333333,500.0,135.0,336.4133333333333,185.92191622649906
488750,500.0,500.0,86.1,500.0,106.1,338.43999999999994,197.97083219504836
489000,500.0,500.0,86.5,500.0,359.3,389.15999999999997,160.84229045869745
489250,368.56666666666666,500.0,500.0,500.0,486.4,470.99333333333334,51.48348775200755
489500,500.0,500.0,500.0,500.0,500.0,500.0,0.0
489750,500.0,500.0,500.0,500.0,500.0,500.0,0.0
490000,428.26666666666665,500.0,500.0,500.0,500.0,485.6533333333333,28.69333333333334
490250,500.0,500.0,500.0,500.0,500.0,500.0,0.0
490500,500.0,500.0,500.0,500.0,500.0,500.0,0.0
490750,197.83333333333334,500.0,500.0,57.766666666666666,122.46666666666667,275.61333333333334,188.4990994378724
491000,105.0,500.0,500.0,33.43333333333333,113.26666666666667,250.34,205.72872796746475
491250,195.2,500.0,500.0,500.0,238.93333333333334,386.8266666666667,139.2966816227548
491500,500.0,500.0,500.0,500.0,500.0,500.0,0.0
491750,500.0,500.0,500.0,69.16666666666667,500.0,413.83333333333337,172.33333333333331
492000,500.0,500.0,500.0,500.0,500.0,500.0,0.0
492250,500.0,500.0,500.0,500.0,500.0,500.0,0.0
492500,500.0,500.0,500.0,500.0,170.2,434.03999999999996,131.92
492750,500.0,500.0,500.0,500.0,123.06666666666666,424.61333333333334,150.77333333333334
493000,500.0,20.0,500.0,500.0,500.0,404.0,192.0
493250,500.0,500.0,500.0,500.0,500.0,500.0,0.0
493500,500.0,500.0,500.0,406.26666666666665,500.0,481.2533333333333,37.49333333333334
493750,500.0,500.0,500.0,500.0,500.0,500.0,0.0
494000,500.0,500.0,500.0,500.0,215.43333333333334,443.0866666666667,113.82666666666667
494250,500.0,500.0,500.0,500.0,500.0,500.0,0.0
494500,67.4,500.0,190.73333333333332,500.0,500.0,351.62666666666667,185.85768797060234
494750,500.0,500.0,500.0,500.0,500.0,500.0,0.0
